id1,id2,title,sponsor,cosponsor,purpose,justification,history,vote,fiscal,edate,link
A02145,A2145,This act shall take effect immediately.,Jean-Pierre,"Jacobson, Steck, Pretlow, Dickens, Dinowitz, Lavine, Gunther, Simon, Magnarelli, Colton, Hevesi",To protect New York's.COVID-19 affected injured workers by eliminating the preauthorization provision to allow medical providers not otherwise authorized to treat injured workers to render medical care and ensuring that all injured workers are paid lost wage benefits at the temporary total level until they are able to return to their place of pre-Covid-19 employment.,"Workers who contract COVID-19 should have the ability to obtain treat- ment as expeditiously as possible, without medical providers having to worry about authorizations.under the Workers' Compensation Law or obtaining prior approval in order to treat these patients. For more than one hundred years, New York's injured workers have relied on the Work- ers' Compensation Law for timely medical treatment and lost wage bene- fits. Those suffering from COVID19 should be treated no differently, and they certainly should not be forced to wait an entire year for their claims to be adjudicated. COVID-19 is a disease with devastating uncertainty, but what is certain is that those working on the frontline during these times of crisis are more likely to contract the disease than those who remain at home. New York's essential workers are providing those items necessary to allow the remainder of our population to survive by providing food, shelter, safety and medical treatment. As COVID-19 related cases are being filed, precedent exists allowing for the payment of medical and monetary benefits for these individuals. The existing law under section 21-a, however, allows carriers and self-in- sureds to commence payment without accepting or denying the particular case, giving these parties up to one year to make a decision. In the meantime, the injured and sick worker is left to wonder whether or not the medical bills are really going to be paid, whether the money they receive will have to be paid back, all without the means to effectively advocate for themselves. Similarly, COVID-19 presents unique medical issues that are emergent and life-threatening, impacting an unprecedented amount of workers who require the services of many medical providers who otherwise do not handle workers' compensation cases. These noble providers have no time to seek authorization to treat nor should their patients' treatments be stymied by preauthorization procedures during these times of crisis. Our frontline workers and public servants, including the grocery clerks, delivery people and everyone in between who have continued to dedicate their time and health to their work throughout these difficult times deserve to receive immediate medical care and to have their claims time- ly adjudicated without bureaucratic delays. Likewise, they should have the peace of mind and certainty knowing that should they become infected, disabled or even perish from this vicious disease, they or their family will receive the workers' compensation benefits they deserve.",2019-20: A10472/S8396 2021-22: A2127/54399,There are no votes for this bill in this legislative session.,None.,This act shall take effect immediately. PURPOSE OR GENERAL IDEA OF BILL :,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02145&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02222,A2222,"An act to amend the labor law, in relation to bystander intervention training",Simon,"Epstein, Gallagher, Barrett, Seawright, Jackson, DeStefano, Durso, Santabarbara, Gonzalez-Rojas,
McMahon, Davila, Dinowitz, Wallace",To prevent sexual harassment in the workplace by requiring state employ- ees to complete bystander intervention training. SUMMARY OF SPECIFIC PROVISIONS,"It is critical that our state implements effective prevention strategies to address the pervasive problem of sexual harassment. Violence and harassment in the workplace can have detrimental effects on both targets and their co-workers, leading to higher rates of turnover and absentee- ism. Providing comprehensive education and training is an important step to combat harassment and build a safe and respectful workplace culture. Bystander intervention is an effective approach to sexual violence prevention that goes beyond the traditional roles of victim and harasser to empower all workers and make eliminating harassment a collective responsibility. Bystander intervention training has been successfully implemented in military and college settings and the EEOC recommends employers incorporate this technique as part of holistic policies on sexual harassment. This proactive measure will help state employees develop the skills to intervene when harassment and discrimination occurs and foster more equitable and supportive working environments throughout the state.",2021-2022: A.5695 -referred to labor 2019-2020: A3644 - referred to governmental operations,There are no votes for this bill in this legislative session.,To be determined.,"this act shall take effect on the one hundred eightieth day after it shall have become a law. Effective immediately, the addition, amendment and/or repeal of any rule or regulation necessary for the implementation of this act on its effective date are authorized to be made and completed on or before such effective date",https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02222&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02267,A2267REVISED 10/31/23,"An act to amend the labor law, the tax law and the town law, in relation to allowing volunteer firefighters to attend training without being penalized by their employer; and creates tax incentives for employing volunteer firefighters",Norris,"Byrnes, Miller, Tague, Jensen, Lemondes, Slater, Bendett, Manktelow, Pirozzolo, Maher, Hawley,
Flood, Giglio JM, Angelino, McGowan, Smullen","This legislation would help to address the continuing difficulty local volunteer fire and emergency medical service (EMS) departments have had recruiting and retaining volunteers. This difficulty is particularly- true for young people who are hard pressed to pursue their careers and their education while volunteering for these critically important services.  :' Section 1: Amends labor law by adding a new section 202-1-1. Section 2 Amends tax law section 210-B by adding a new subdivision 59. Section 3. Amends tax law Subparagraph (B) of paragraph 1 of subsection (i) of section 606 by adding a new clause (1) Section 4. Amends Section 606 of the tax law by adding a new subsection (000) Section 5. Amends town law section 181(4), as amended by chapter 555 of the laws of 2007. Section 6. Imposes effective date.","It has become increasingly difficult for local volunteer fire depart- ments, especially rural communities in Upstate and Western New York, to recruit and retain new members. Potential volunteers are not always able to attend the mandatory trainings- associated with volunteering fire- fighting because of employment obligations. This legislation offers volunteer firefighters protection against being penalized by their employers for attending these training. This bill would also provide tax incentives to employers who hire volunteer firefighters.",2021-22: A.3843 2019-20: A.7827,There are no votes for this bill in this legislative session.,:,This act shall take effect on the thirtieth day after it shall have become law.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02267&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02302,A2302,"An act to amend the workers' compensation law, in relation to benefits for police officers, correction officers, firefighters, and other emer- gency personnel diagnosed with PTSD",O'Donnell,,,"First responders have been there during September 11, 2001, hurricane Sandy, Irene, Irma, Maria and Katerina. First responders are often the lifeline between our families and communities and their survival. First responders are exposed to an incredible amount of stress on a daily basis, simply by the nature of their job. The effects of such rigorous, high-intensity work are real, and the hardworking men and women who help keep our communities safe deserve to be compensated. First responders however experience, often on a daily basis a slew of traumatic incidents that affect them and their families. The emergencies can range from the mundane incident, to fires, car accidents, and even horrific crimes. A 2010-2011 study from the Department of Psychology at N. Illinois Univer- sity revealed that public safety responders suffer from post-traumatic stress disorder (PTSD) at a higher percentage than the general popu- lation. The study, conducted by Heather Pierce and Michelle Lilly, cred- ited this higher percentage to ""significant duty-related trauma expo- sure."" Often the case many first responders who face PTSD, similar to our brave men and women who serve in our military often find themselves as a burden to their families and often take drastic measures such as suicide, alcohol or drug abuse, or abuse spouses and loved ones. This legislation specific intent is not only to assure proper compensation for work-related mental health illness, but to assure that these indi- viduals have access to proper psychological treatment. This is a quali- ty of life measure for those individuals that protect our families and communities on a daily baSis.",2018: A11294 - Referred to Labor 2019: A1979 - Referred to Labor 2020: A1979 - Referred to Labor 2021: A4939 - Referred to Labor,There are no votes for this bill in this legislative session.,Subject to appropriation.,This act shall take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02302&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02409,A2409,"An act to amend the labor law, in relation to limiting the number of consecutive hours worked by certain employees of cities of one million or more",Jones,"Gonzalez-Rojas, Burgos, DeStefano",The proposed legislation would add a new section of the labor law to prohibit any political subdivision of the State of New York from requir- ing an employee to work more than seventeen hours in any given work day except as provided in an applicable collective bargaining agreement.,"This bill is needed due to the fact that the NYC Department of Corrections has been assigning employees to work triple shifts without regard to the health and safety of its employees. The legislation amends the labor law and is intended to supersede any local laws allowing the practice. No municipal employee should be mandated to work a triple shift. In circumstances wherein a triple shift may be to the benefit of both the employer and the employee, or in the case of a true emergency, sufficient safeguards must be contractually negotiated. Currently, existing law allows certain municipalities to force workers to work in excess of 17 hours a day. This is particularly true in the case of the New York City Department of Corrections which has forced Correction Officers to work triple shifts. This practice is permitted under the NYC Administrative Code in emergency situations but has not been negotiated in contract and the practice is occurring regardless of declarations of emergency.",05/21/21 referred to labor 06/08/21 amend (t) and recommit to labor 06/08/21 print number 7763a 01/05/22 referred to labor,There are no votes for this bill in this legislative session.,None.,Immediately,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02409&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02438,A2438,"An act to amend the labor law, in relation to providing employees with one day off every ten years to undergo a colonoscopy",Paulin,"Bronson, Colton, Cruz, Simon, Sayegh, Steck",To allow more people to undergo a colonoscopy and promote early detection by requiring employers to grant employees aged forty-five or older one day off from work every ten years to undergo a colonoscopy.,"Colorectal cancer is the third most common cancer diagnosed in both men and women in the United States.{1} It is the second most common cause of cancer related deaths in men and women combined.{2} Deaths from this type of cancer have been dropping in recent decades;{3} however there remains a need to promote early detection and screening, especially in vulnetable and high risk populations. This legislation amends the labor law to require employers to grant all employees who are forty-five years of age or older a one day leave of absence every ten years in order to undergo a colonoscopy This change to the law will especially help individuals who may not otherwise choose to undergo a colonoscopy for fear or reluctance to request time off from work. Also, it make6 Clear that an employer, may not retaliate in any way against an employee who takes advantage of the provisions set forth in the bill. Enacting this legislation will help to save lives by promoting the importance of early detection and allowing for higher rates of screening.","A.5147, 2021 and 2022, referred to labor. A5958, 2019 and 2020, referred to labor.",There are no votes for this bill in this legislative session.,None,This act shall take effect on the ninetieth day after it shall become a law. (1) See https://www.cancer.otg canceticolontettal- cancer/about/keystatistics html (2) Id. (3) Id.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02438&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02457,A2457,"An act to amend the labor law, in relation to requiring employers to provide paid sick leave to employees following a miscarriage or still- birth",Dilan,"Carroll, Simone, Benedetto, Simon, Jacobson, DeStefano, Durso, Gandolfo, McDonough, Manktelow,
Sillitti, Burgos, Alvarez, Burdick, Colton, Brabenec, Giglio JM, Sayegh, Davila",TO PROVIDE SICK LEAVE TO EMPLOYEES FOLLOWING A MISCARRIAGE OR STILL- BIRTH.,"If we have paid family leave for parents to bond with their newly born child, then we should also be providing paid leave specific to those mothers who have experienced the trauma of stillbirth and miscarriage as such pregnancy loss is much too monumental an event both physically and emotionally to deny them this right. It has been reported that up to one in four pregnancies result in the loss of the baby and at such a rate it is safe to suggest that such loss is too common an experience to not be providing paid time to recover from such an emotionally and physically traumatic experience.",None,There are no votes for this bill in this legislative session.,To be determined,This act shall take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02457&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02471,A2471,An act requiring the department of labor and the office for people with developmental disabilities to conduct a study and report on the wages earned by aides to the developmentally disabled,Angelino,"Brabenec, DeStefano, Durso, Lemondes, McDonough, Miller, Morinello, Tague, Giglio JA",Relates to authorizing a study on the wages earned by aides to the developmentally disabled.,"More and more we have become dependent on not-for-profits around the state to care for the mentally ill, developmentally disabled in communi- ty homes, workshops and daycare facilities. The responsibilities of aides caring for such individuals include but are not limited to bath- ing, feeding, lifting, and constant around the clock care. Most aides are hired at minimum wage with little opportunity to progress upward. The current turnover/vacancy rate is 24% in some areas. Such dedication and skills should be accurately paid for what they are worth. This legislation would address this issue by conducting a study and report on such wages earned by aides to the developmentally disabled.",New bill.,There are no votes for this bill in this legislative session.,To be determined.,This act shall take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02471&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02512,A2512,"An act to amend the labor law, in relation to modular construction work",Dilan (MS),"Hevesi, Rosenthal D, Cook, Reyes, Hyndman, McDonough, Williams, Glick, Colton, Hunter, Dickens,
Taylor, Braunstein, Seawright, Reilly, Lucas, Shimsky, Ardila","The purpose of this bill is to require that modular construction projects comply with applicable local plumbing, gas piping, electrical, and fire suppression licensing requirements, whenever such final construction project is to be located in a city with a population of one million or more.","The use of modular construction in high rise residential, commercial and institutional buildings (such as hospitals) in New York City is a recent phenomenon. While the Executive Law currently covers manufactured homes, and provides certain consumer protections, it is an outdated law, having been passed in 2005 to implement the federal Manufactured Housing Improvement Act of 2000, and therefore does not address NYC's current problem. Presently, modular construction is not subject to the same standards for plumbing, gas piping, electrical, and fire suppression work as construction done on site within New York City. This makes no practical sense and greatly increases the likelihood of code violations in such modular buildings. In 2014, the NYC Department of Buildings issued Buildings Bulletin 2014-003 stating that modular construction units must be certified either by NYC licensees or by a ""third party"" entity otherwise ""approved"" by the Department. However, there have been various instances of the third-party certification process failing, resulting in required repairs to such modular units by NYC licensees. To protect the public from potential safety and health issues, it is crucial that the actual work in these modular units be performed or certified by NYC-licensed entities familiar with the applicable laws, codes, and rules of the City of New York. This change assures that occu- pants of any modular building located in NYC are given the same level of protection as occupants of buildings completely constructed on-site.",:,There are no votes for this bill in this legislative session.,None noted.,This bill would take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02512&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02520,A2520,"An act to amend the labor law, in relation to job protection for emer- gency service volunteers",Angelino,"DeStefano, Durso, Lemondes, McDonough, Miller, Morinello, Tague, Giglio JA, Bendett",To prohibit an employer from terminating an employee who is also a volunteer firefighter or a volunteer provider of emergency medical services when that employee misses or is late to work because of an emergency to which the employee was dispatched.,"Emergencies most often require immediate action on the part of local emergency workers, who at times risk their own lives to protect their neighbors, and communities throughout the state need these emergency workers to prevent loss of life or property. Many of these courageous men and women are volunteers. Volunteer EMTs, paramedics and firefight- ers assist in providing immediate medical attention in emergencies, which include automobile accidents, heart attacks, drowning, childbirth, gunshot wounds and fire emergencies. We need to protect these volun- teers while they are protecting us. Numerous New York communities depend on volunteers, who may be late or miss work because they assisted at the scene of an emergency. This legislation balances the needs of the community at large with those of local businesses. Furthermore, in these times of continued emphasis on emergency preparedness and response, this legislation will make sure that emergency workers are not forced to decide whether they should respond to an emergency or risk losing the paying job that supports their family. Volunteer firefighters and EMS volunteers are an important part of emergency services, but employment pressures can often make it difficult to recruit and retain them. Steps like this that help them protect their financial livelihood while serving their communities should encourage more volun- teers to stay on, and benefit everyone in the community. Many depart- ments will be better able to bring on new volunteers and keep the ones they have because the volunteers don't have to be afraid of being disci- plined or fired for being late or missing work for helping at an emer- gency scene.",None.,There are no votes for this bill in this legislative session.,None.,This act shall take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02520&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02562,A2562,"An act to amend the labor law, in relation to establishing an essential workers' bill of rights",Rozic,Seawright,"To ensure rights, protection and hazard pay for essential workers during a state of emergency. SUMMARY OF SPECIFIC PROVISIONS","During an unprecedented pandemic or state of emergency, many essential workers continue to go to work exposing themselves to high-risk condi- tions without appropriate protective equipment; adequate safety stand- ards, proper health care and childcare or basic job protections. This leaves them susceptible to contracting contagions and other dangers at a higher rate than the general public. For example, during the first few months of the COVID-1 9 pandemic in the United States, the Occupational Safety and Health Administration (OSHA) received more than 3,000 worker complaints regarding the coronavirus between January 2020 and April 2020 outlining the fear and danger essential workers faced on a daily basis. Complaints highlighted the lack of personal protective equipment, the lack of transparency regarding coworkers testing positive for the virus, and inadequate pay. To date, there have been patchwork suggestions issued at the federal state and local levels; but no widespread regu- lations to ensure the safety and wellbeing of essential workers. This legislation would require employers of essential workers as defined by the Governor Cuomo's Executive Order 202.6 of 2020 to implement an essential workers' bill of rights that a Would ensure workers have adequate personal protective equipment *Would mandate that employers inform workers when an employee has contracted a disease related to the state of emergency and of a worker's potential exposure to disease; *Would prevent employers from retaliating or discriminating against an essential worker for reporting any unsafe work environment; *Certain large employers would also be required to cover the costs of any child care or health care needed by essential workers during the duration of the state of emergency and pay essential workers a payment that is a percentage or a fixed dollar amount, set by the Labor Commis- sioner. The benefit would be capped at $25,000 for workers earning less than $200,000 per year and at $5,000 for those earning more than $200,000. Small businesses, manufacturers, and non-profits would be exempt from this requirement.",2022: A761 (Rozic) - Labor 2021: A761 (Rozic) - Labor 2020: A10437 (Rozic) - Labor,There are no votes for this bill in this legislative session.,None.,This act shall take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02562&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02569,A2569,"An act to amend the labor law, in relation to providing hazard payments to essential workers during a state disaster emergency",Rozic,"Seawright, Hevesi, Reyes, Rosenthal L, Epstein, Thiele, Giglio JM, McDonough, Cruz, Simon,
Lunsford, Otis, Weprin",To ensure hazard pay for essential workers during a state of emergency. SUMMARY OF SPECIFIC PROVISIONS,"During an unprecedented pandemic or state of emergency, many essential workers continue to go to work exposing themselves to high-risk condi- tions without appropriate protective equipment, adequate safety stand- ards, or basic job protections. This leaves them susceptible to contracting contagions and other dangers at a higher rate than the general public. For example, during the first few months of the COVID-I 9 pandemic in the United States, the Occupational Safety and Health Administration (OSHA) received more than 3,000 worker complaints regarding the corona- virus between January 2020 and April 2020 highlighting the fear and danger essential workers faced on a daily basis.(1) This legislation would require certain large employers to pay essential workers a payment that is a percentage or a fixed dollar amount, set by the Labor Commissioner. The benefit would be capped at $25,000 for work- ers earning less than $200,000 per year and at $5,000 for those earning more than $200,000. Small businesses, manufacturers, and nonprofits would be exempt from this requirement. The bill applies to essential workers as defined by Governor Cuomo's Executive Order 202.6 of 2020.",2022: A757 (Rozic) - Labor 2021: A757 (Rozic) - Labor 2020: A10359 (Rozic) - Labor,There are no votes for this bill in this legislative session.,None.,This act shall take effect immediately. (1) https://vvww.washingtonpost.com/business/2020/04/16/osha-coronavirus-com plaints/,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02569&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02596,A2596,"An act to amend the workers' compensation law, in relation to providing equitable disability policies",Woerner,"Jackson, Lemondes, Simon, Gonzalez-Rojas",To address inequity in disability insurance policies.,"Statistics show that women have historically paid more for the same disability insurance benefits as men within the same occupation class. This legislation will ensure that all New Yorker's will have fair and equal access to disability insurance by prohibiting insurance providers from charging a different rate for disability insurance on the basis of race, color, religion, sex, marital status, or national origin. Similar legislation has been enacted in Massachusetts and Montana.",A. 2611 of 2022: Referred to Labor. A. 8328 of 2020: Referred to Labor. S. 7575 of 2020: Referred to Labor.,There are no votes for this bill in this legislative session.,To be determined,This act shall take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02596&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02752,A2752,"An act to amend the workers' compensation law, in relation to requiring public employers who opt out of providing paid family leave benefits to provide parental leave in the alternative",Rajkumar,Cunningham,To require public employers who opt out of providing paid family leave benefits to provide paternity leave in the alternative,"New York State designed Paid Family Leave to be easy for employers to implement. Since its creation, there has been a lack of equity and equality when it comes to an employee's options for parental leave.",2021-22 A10352 referred to labor,There are no votes for this bill in this legislative session.,None.,This act shall take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02752&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02760,A2760,"An act to amend the labor law, in relation to allowing employees that refuse a coronavirus vaccine to be eligible for unemployment insurance",Gandolfo (MS),"Smullen, Byrnes, Giglio JA, DeStefano, Durso, Angelino, Gallahan, Brabenec",To permit individuals terminated from their employment due to their choice not to receive the coronavirus vaccine eligible to receive unem- ployment insurance benefits.,"The State of New York recently required that certain employees, includ- ing all employees at healthcare facilities, receive the coronavirus vaccine by a date certain or be terminated from their jobs. Unlike most other areas of the workforce, these employees do not have the option of receiving regular COVID testing in lieu of receiving the coronavirus vaccine. These individuals have to choose between making a personal healthcare decision and their career. Thousands of New Yorkers-most of whom were bravely on the front line of the pandemic for months on end caring for the sick and vulnerable-are now out of a job because of a mandate by New York State. This legislation would permit employees who have lost their job solely to their choice in not receiving the corona- virus vaccine and who are not eligible to receive regular COVID testing instead, to be eligible for unemployment insurance.",A.8335 of 2021/22- referred to labor,There are no votes for this bill in this legislative session.,To be determined.,Immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02760&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02880,A2880,"An act to amend the workers' compensation law, in relation to providing for paid family leave following a stillbirth",Rajkumar,"Cruz, Sillitti, Buttenschon, Jacobson, Ardila, Shrestha, Rozic, Alvarez, Gallagher, Hevesi, Slater,
Bendett, Maher, Jensen, Beephan, Manktelow, DeStefano, Simon, Raga, Gunther, Burgos, Burdick,
Ramos, Clark, Reyes, Durso, McDonough, Novakhov, Morinello, Forrest, Carroll, Steck, Thiele, Aubry,
Simone, Zinerman, Seawright, Jean-Pierre, Lavine, Jones, De Los Santos, Davila, Mamdani,
Cunningham, Dickens, Sayegh, Septimo, Kelles, Darling, Eachus, Chang, Tague, Tannousis, Gandolfo,
Byrnes, Shimsky, Pirozzolo, Ra, Levenberg, Barclay, Tapia, McMahon, Bores, Vanel, Colton, Rosenthal
L, Anderson, Wallace, Taylor, Stern, Lunsford, Pretlow, Eichenstein, Flood, McGowan, Simpson,
Giglio JA, Smith, Brabenec, Miller, Gray, Blumencranz, Lemondes, Palmesano, Kim, Chandler-Waterman,
Fahy, Giglio JM, Weprin, Mitaynes, Jackson, Walsh, Bichotte Hermelyn, Meeks, Epstein, O'Donnell,
Bronson, McDonald, Lee, Lupardo",This bill provides for paid family leave following the stillbirth of a child.,"According to the Center for Disease Control, stillbirth affects about 1 in 160 births, and each year about 24,000 babies are stillborn in the United States. The loss of a baby due to a stillbirth remains a tragic reality for many and takes a serious mental and physical toll on an individual and on a family. This legislation would amend the workers' compensation law to include the birth of a stillborn child as a qualify- ing condition for family leave in New York State. Allowing individuals who lose a child to take time to grieve and come to terms with a life- altering loss is critical to the healing process.",New bill,There are no votes for this bill in this legislative session.,None.,This act shall take effect on the first of January following the first of September next succeeding the date on which it shall have become a law.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02880&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02911,A2911,"An act to amend the labor law, in relation to requiring the department of labor to collect and report certain information regarding requests from the governor or his or her authorized agent for federal Title XII advances for the state unemployment trust fund",Ra,Giglio JA,This bill would require the Department of Labor to report on any request for a Federal Title XII advance to supplement the State's unemployment insurance benefit fund.,"Section 1201 of the Social Security Act permits the Governor of a state to request repayable advances from the Federal Unemployment Account for any three consecutive month period during which reserves in the state account in the Unemployment Trust Fund are insufficient to pay benefits. When such advance is approved, the state has approximately two years to repay the advance in full without penalty. If a state fails to repay the advance in full in the allotted timeframe, all taxable employers in that state will be subject to a reduced credit on their Federal Unem- ployment Tax Act (FUTA) of .3%. The reduced credit will increase by .3% for each January 1st that passes without full repayment by November 10th of that year. This legislation aims to provide relevant information on any possible increase to an employer's FUTA tax as a result of the state requesting additional funds for the unemployment insurance benefit fund.",A.4420 (2021-2022) - Held for consideration in Labor,There are no votes for this bill in this legislative session.,None to state.,This act shall take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02911&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A02982,A2982,"An act to amend the labor law, in relation to suspending employer contributions to the interest assessment surcharge fund; making an appropriation to pay interest due on advances from the federal unemploy- ment account; and providing for the repeal of such provisions upon the expiration thereof",Ra,"Simpson, Manktelow, DeStefano, Jensen, Gallahan, Hawley, Barclay, Durso, Tannousis, Mikulin,
Morinello, Byrnes, Tague, Norris, Angelino, Lemondes, Goodell, Giglio JA, Slater, Friend","This bill would suspend employer contributions to the interest assess- ment surcharge fund until December 31, 2024, and appropriates funds from the Economic Uncertainties Fund to replace such contributions.","Title XII of the Social Security Act permits the Governor of a state to request repayable advances from the Federal Unemployment Trust Fund Account for any three consecutive month period during which reserves in the state account in the Unemployment Trust Fund are insufficient to pay benefits. The Department of Treasury levies an interest rate of 2.28% on the total amount of advances that are provided to a State. As of Decem- ber 6, 2022, the outstanding balance for New York State's Title XII advances is $7.8 billion, and the 2022 interest assessment surcharge the State paid was approximately $160 million. The Economic Uncertainties Fund is a pot of money that is unappropriated from settlement funds that the state has received. By using this appro- priation, it would be cash funds that are available to replace employer contributions to the interest assessment surcharge fund. Pursuant to Section 581-d of the Labor Law, once the total amount of federal interest charges have been paid, the excess funds allocated to the interest assessment surcharge fund shall be deposited into the State Unemployment Insurance Trust Fund Account and credited to employer accounts.","A,7211 (Ra) same as S.6538 (Martucci) of 2021-2022: Held for consider- ation in Labor",There are no votes for this bill in this legislative session.,None to state.,This act shall take effect immediately.,https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A02982&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
A03040,A3040,"An act to amend the labor law, in relation to the schedules that work act",Fahy,,"To require that an employer, employing fifty or more employees in the state of New York in retail, food service or cleaning adhere to the Schedules That Work Act. It also provides for an employee to voluntarily be called in to work beyond their scheduled hours. SUMMARY OF SPECIFIC PROVISIONS","This bill would protect hourly worker in the fields of retail, food service or cleaning, who often find themselves laden with unpredictable schedules and irregular hours. Industries that employ hourly workers are some of the fastest growing and lowest paying. Allowing workers a more stable schedule enables them to plan for essen- tial responsibilities including child care and transportation. It is not uncommon for an hourly worker to be sent home early, before their scheduled shift ends or for the number of expected work hours or specific days to change with little or no notice. This can be crippling for working families. This bill would ensure that workers who get sent home early for under four hours of work are compensated fairly up to four hours and it would require some compensation to the employee for being ""on call"" if it is within 24 hours of the shift in question. This bill would promote more communication between employee and employer regarding expectations for work and require the employer to give more reasonable notice to the employee of changes in their work schedule. A more predictable schedule would result in a more focused employee who has been ensured their responsibilities outside of work have been taken care of. Additionally, giving hourly employees a voice at work would likely decrease worker turnover rates. In this way, this bill would benefit both the employee and the employer. This legislation allows for an individual to voluntarily be called in for extra hours.",A8592 2017-28 A2448 2019-20 A3158 2021-22,There are no votes for this bill in this legislative session.,undetermined,"This act shall take effect on the one hundred eightieth day after it shall have become a law. Effective immediately, the addition, amendment and/or repeal of any rules or regulations necessary for the implementa- tion of this act on its effective date to be made on or before such date.",https://nyassembly.gov/leg/?default_fld=&leg_video=&bn=A03040&term=2023&Summary=Y&Actions=Y&Committee%26nbspVotes=Y&Floor%26nbspVotes=Y&Memo=Y&Text=Y&LFIN=Y&Chamber%26nbspVideo%2FTranscript=Y
